No.,Player,Pos,Ht,Wt,"Birth Date",Nationality,Exp,College,Team,State,Country
2,"Cade Cunningham",PG,6/6/2023,220,9/25/2001,us,1,"Oklahoma State","Detroit Pistons",Texas,"United States"
13,"James Wiseman",C,7/1/2000,240,3/31/2001,us,1,Memphis,"Detroit Pistons",Tennessee,"United States"
8,"Jared Rhoden  (TW)",SG,6/6/2023,210,8/27/1999,us,R,"Seton Hall","Detroit Pistons","New York","United States"
14,"Stanley Umude",SG,6/6/2023,210,4/12/1999,us,R,"South Dakota, Arkansas","Detroit Pistons",Oregon,"United States"
27,"Buddy Boeheim  (TW)",PG,6/6/2023,205,11/11/1999,us,R,Syracuse,"Detroit Pistons","New York","United States"
3,"Jordan Poole",PG,6/4/2023,194,6/19/1999,us,3,Michigan,"Golden State Warriors",Wisconsin,"United States"
5,"Kevon Looney",C,6/9/2023,222,2/6/1996,us,7,UCLA,"Golden State Warriors",Wisconsin,"United States"
23,"Draymond Green",PF,6/6/2023,230,3/4/1990,us,10,"Michigan State","Golden State Warriors",Michigan,"United States"
0,"Donte DiVincenzo",SG,6/4/2023,203,1/31/1997,us,4,Villanova,"Golden State Warriors",Delaware,"United States"
11,"Klay Thompson",SG,6/6/2023,215,2/8/1990,us,9,"Washington State","Golden State Warriors",California,"United States"
0,"Jonathan Kuminga",PF,6/8/2023,210,10/6/2002,cd,1,,"Golden State Warriors",,Congo
4,"Moses Moody",SG,6/6/2023,205,5/31/2002,us,1,Arkansas,"Golden State Warriors",Arkansas,"United States"
40,"Anthony Lamb  (TW)",SF,6/6/2023,227,1/20/1998,us,2,"University of Vermont","Golden State Warriors","New York","United States"
30,"Stephen Curry",PG,6/2/2023,185,3/14/1988,us,13,Davidson,"Golden State Warriors",Ohio,"United States"
1,"JaMychal Green",PF,6/8/2023,227,6/21/1990,us,8,Alabama,"Golden State Warriors",Alabama,"United States"
22,"Andrew Wiggins",SF,6/7/2023,197,2/23/1995,ca,8,Kansas,"Golden State Warriors",,Canada
10,"Ty Jerome  (TW)",SG,6/5/2023,195,7/8/1997,us,3,Virginia,"Golden State Warriors","New York","United States"
7,"Patrick Baldwin Jr.",SF,6/9/2023,220,11/18/2002,us,R,UW-Milwaukee,"Golden State Warriors",Wisconsin,"United States"
2,"Ryan Rollins",PG,6/4/2023,180,7/3/2002,us,R,Toledo,"Golden State Warriors",Michigan,"United States"
9,"Andre Iguodala",SF,6/6/2023,215,1/28/1984,us,18,Arizona,"Golden State Warriors",Illinois,"United States"
NULL,"Gary Payton II",PG,6/3/2023,190,12/1/1992,us,6,"Oregon State","Golden State Warriors",Washington,"United States"
6,"Kenyon Martin Jr.",SF,6/6/2023,215,1/6/2001,us,2,,"Houston Rockets",California,"United States"
17,"Tari Eason",PF,6/8/2023,216,5/10/2001,us,R,"Cincinnati, LSU","Houston Rockets",Virginia,"United States"
1,"Jabari Smith Jr.",PF,6/10/2023,220,5/13/2003,us,R,Auburn,"Houston Rockets",Georgia,"United States"
4,"Jalen Green",SG,6/4/2023,178,2/9/2002,us,1,,"Houston Rockets",California,"United States"
28,"Alperen ?engÃ¼n",C,6/9/2023,235,7/25/2002,tr,1,,"Houston Rockets",,Turkey
16,"Usman Garuba",PF,6/8/2023,220,3/9/2002,es,1,,"Houston Rockets",,Spain
15,"Daishen Nix",PG,6/5/2023,224,2/13/2002,us,1,,"Houston Rockets",Alaska,"United States"
3,"Kevin Porter Jr.",PG,6/4/2023,203,5/4/2000,us,3,USC,"Houston Rockets",Washington,"United States"
9,"Josh Christopher",SG,6/5/2023,215,12/8/2001,us,1,"Arizona State","Houston Rockets",California,"United States"
0,"TyTy Washington Jr.",PG,6/3/2023,197,11/15/2001,us,R,Kentucky,"Houston Rockets",Arizona,"United States"
8,"Jae'Sean Tate",SF,6/4/2023,230,10/28/1995,us,2,"Ohio State","Houston Rockets",Ohio,"United States"
51,"Boban Marjanovi?",C,7/3/2023,290,8/15/1988,rs,7,,"Houston Rockets",,Serbia
12,"Trevor Hudgins  (TW)",PG,6/1/2000,180,3/23/1999,us,R,"Northwest Missouri State University","Houston Rockets",Kansas,"United States"
5,"Darius Days  (TW)",PF,6/7/2023,245,10/20/1999,us,R,LSU,"Houston Rockets",Florida,"United States"
33,"Frank Kaminsky",C,7/1/2000,240,4/4/1993,us,7,Wisconsin,"Houston Rockets",Illinois,"United States"
NULL,"Justin Holiday",SG,6/6/2023,180,4/5/1989,us,9,Washington,"Houston Rockets",California,"United States"
24,"Buddy Hield",SF,6/4/2023,220,12/17/1992,bs,6,Oklahoma,"Indiana Pacers",,Bahamas
0,"Bennedict Mathurin",SF,6/6/2023,210,6/19/2002,ca,R,Arizona,"Indiana Pacers",,Canada
9,"T.J. McConnell",PG,6/1/2023,190,3/25/1992,us,7,"Duquesne, Arizona","Indiana Pacers",Pennsylvania,"United States"
23,"Aaron Nesmith",SF,6/5/2023,215,10/16/1999,us,2,Vanderbilt,"Indiana Pacers","South Carolina","United States"
2,"Andrew Nembhard",SG,6/5/2023,193,1/16/2000,ca,R,"Florida, Gonzaga","Indiana Pacers",,Canada
25,"Jalen Smith",PF,6/10/2023,215,3/16/2000,us,2,Maryland,"Indiana Pacers",Virginia,"United States"
33,"Myles Turner",C,6/11/2023,250,3/24/1996,us,7,Texas,"Indiana Pacers",Texas,"United States"
12,"Oshae Brissett",SF,6/7/2023,210,6/20/1998,ca,3,Syracuse,"Indiana Pacers",,Canada
0,"Tyrese Haliburton",PG,6/5/2023,185,2/29/2000,us,2,"Iowa State","Indiana Pacers",Wisconsin,"United States"
22,"Isaiah Jackson",C,6/10/2023,206,1/10/2002,us,1,Kentucky,"Indiana Pacers",Michigan,"United States"
3,"Chris Duarte",SF,6/6/2023,190,6/13/1997,ca,1,Oregon,"Indiana Pacers",,Oregon
16,"James Johnson",PF,6/7/2023,240,2/20/1987,us,13,"Wake Forest","Indiana Pacers",Wyoming,"United States"
8,"Trevelin Queen  (TW)",SG,6/6/2023,190,2/25/1997,us,1,"College of Marin, New Mexico Military Institute, New Mexico State","Indiana Pacers",Maryland,"United States"
27,"Daniel Theis",C,6/8/2023,245,4/4/1992,de,5,,"Indiana Pacers",,Germany
10,"Kendall Brown  (TW)",SG,6/8/2023,205,5/11/2003,us,R,Baylor,"Indiana Pacers",Minnesota,"United States"
13,"Jordan Nwora",SF,6/8/2023,225,9/9/1998,us,2,Louisville,"Indiana Pacers","New York","United States"
7,"George Hill",PG,6/4/2023,188,5/4/1986,us,14,IUPUI,"Indiana Pacers",Indiana,"United States"
14,"Terance Mann",SG,6/5/2023,215,10/18/1996,us,3,"Florida State","Los Angeles Clippers","New York","United States"
40,"Ivica Zubac",C,7/1/2000,240,3/18/1997,ba,6,,"Los Angeles Clippers",,Bosnia
33,"Nicolas Batum",PF,6/8/2023,230,12/14/1988,fr,14,,"Los Angeles Clippers",,France
8,"Marcus Morris",PF,6/8/2023,218,9/2/1989,us,11,Kansas,"Los Angeles Clippers",Pennsylvania,"United States"
24,"Norman Powell",SG,6/3/2023,215,5/25/1993,us,7,UCLA,"Los Angeles Clippers",California,"United States"
13,"Paul George",SG,6/8/2023,220,5/2/1990,us,12,"Fresno State","Los Angeles Clippers",California,"United States"
7,"Amir Coffey",SG,6/7/2023,210,6/17/1997,us,3,Minnesota,"Los Angeles Clippers",Minnesota,"United States"
23,"Robert Covington",PF,6/7/2023,209,12/14/1990,us,9,"Tennessee State","Los Angeles Clippers",Illinois,"United States"
9,"Moses Brown  (TW)",C,7/2/2023,245,10/13/1999,us,3,UCLA,"Los Angeles Clippers","New York","United States"
2,"Kawhi Leonard",SF,6/7/2023,225,6/29/1991,us,10,"San Diego State","Los Angeles Clippers",California,"United States"
4,"Brandon Boston Jr.",SG,6/7/2023,185,11/28/2001,us,1,Kentucky,"Los Angeles Clippers",Georgia,"United States"
25,"Moussa DiabatÃ©  (TW)",PF,6/11/2023,210,1/21/2002,fr,R,Michigan,"Los Angeles Clippers",,France
0,"Jason Preston",PG,6/4/2023,187,8/10/1999,us,R,"Ohio University","Los Angeles Clippers",Florida,"United States"
44,"Mason Plumlee",C,6/11/2023,254,3/5/1990,us,9,Duke,"Los Angeles Clippers",Indiana,"United States"
10,"Eric Gordon",SG,6/3/2023,215,12/25/1988,us,14,Indiana,"Los Angeles Clippers",Indiana,"United States"
5,"Bones Hyland",PG,6/3/2023,173,9/14/2000,us,1,VCU,"Los Angeles Clippers",Delaware,"United States"
7,"Troy Brown Jr.",SF,6/6/2023,215,7/28/1999,us,4,Oregon,"Los Angeles Lakers",Nevada,"United States"
35,"Wenyen Gabriel",PF,6/9/2023,205,3/26/1997,sd,3,Kentucky,"Los Angeles Lakers",,Sudan
6,"LeBron James",PF,6/9/2023,250,12/30/1984,us,19,,"Los Angeles Lakers",Ohio,"United States"
17,"Dennis SchrÃ¶der",PG,6/3/2023,172,9/15/1993,de,9,,"Los Angeles Lakers",,Germany
4,"Lonnie Walker IV",SG,6/4/2023,204,12/14/1998,us,4,"Miami (FL)","Los Angeles Lakers",Pennsylvania,"United States"
15,"Austin Reaves",SG,6/5/2023,206,5/29/1998,us,1,"Wichita State, Oklahoma","Los Angeles Lakers",Arkansas,"United States"
3,"Anthony Davis",C,6/10/2023,253,3/11/1993,us,10,Kentucky,"Los Angeles Lakers",Illinois,"United States"
10,"Max Christie",SG,6/6/2023,190,2/10/2003,us,R,"Michigan State","Los Angeles Lakers",Illinois,"United States"
28,"Rui Hachimura",PF,6/8/2023,230,2/8/1998,jp,3,Gonzaga,"Los Angeles Lakers",,Japan
14,"Scotty Pippen Jr.  (TW)",PG,6/3/2023,185,11/10/2000,us,R,Vanderbilt,"Los Angeles Lakers",Oregon,"United States"
20,"Cole Swider  (TW)",SF,6/9/2023,220,5/8/1999,us,R,"Villanova, Syracuse","Los Angeles Lakers","Rhode Island","United States"
1,"D'Angelo Russell",PG,6/4/2023,193,2/23/1996,us,7,"Ohio State","Los Angeles Lakers",Kentucky,"United States"
5,"Malik Beasley",SG,6/4/2023,187,11/26/1996,us,6,"Florida State","Los Angeles Lakers",Georgia,"United States"
2,"Jarred Vanderbilt",PF,6/9/2023,214,4/3/1999,us,4,Kentucky,"Los Angeles Lakers",Texas,"United States"
11,"Davon Reed",SG,6/5/2023,208,6/11/1995,us,3,"Miami (FL)","Los Angeles Lakers","New Jersey","United States"
12,"Mo Bamba",C,7/1/2000,231,5/12/1998,us,4,Texas,"Los Angeles Lakers","New York","United States"
21,"Tyus Jones",PG,6/1/2000,196,5/10/1996,us,7,Duke,"Memphis Grizzlies",Minnesota,"United States"
7,"Santi Aldama",PF,6/11/2023,224,1/10/2001,es,1,"Loyola (MD)","Memphis Grizzlies",,Spain
24,"Dillon Brooks",SF,6/7/2023,225,1/22/1996,ca,5,Oregon,"Memphis Grizzlies",,Canada
15,"Brandon Clarke",PF,6/8/2023,215,9/19/1996,ca,3,"San Jose State, Gonzaga","Memphis Grizzlies",,Canada
46,"John Konchar",SG,6/5/2023,210,3/22/1996,us,3,"Purdue-Fort Wayne","Memphis Grizzlies",Illinois,"United States"
